Parcel_ID,GPIN,Property Street,House Number,Block Number,Full Road Name,Road Name,Property City,Property State,Property Zip,Zip Code Short,Neighborhood,Property Use,Parcel Square Footage,Finished Living Space,2016 Land,2016 Building,2015 Land,2015 Building,2012 Land,2012 Building,Most Recent Sale Date, Sale Price 
71051704                  ,1427893526,606 West Mowbray Ct,606 ,600,West Mowbray Ct,West Mowbray ,Norfolk                         ,VA  ,23507-1855,23507,150400,Single Family - Detached,0,3384,177800,353900,177800,353900,177800,353900,Jun 30 2005,0
71051705                  ,1427892573,600 West Mowbray Ct,600 ,600,West Mowbray Ct,West Mowbray ,Norfolk                         ,VA  ,23507-1855,23507,150400,Single Family - Detached,9300,4254,289600,414200,289600,414200,289600,414200,Mar 11 1998,379900
71051706                  ,1427895601,625 East Mowbray Ct,625 ,600,East Mowbray Ct,East Mowbray ,Norfolk                         ,VA  ,23507-1858,23507,150400,Single Family - Detached,0,3983,187200,481600,187200,481600,187200,481600,Jul 26 2007,990000
71051707                  ,1427894569,617 East Mowbray Ct,617 ,600,East Mowbray Ct,East Mowbray ,Norfolk                         ,VA  ,23507-1858,23507,150400,Single Family - Detached,0,4007,182200,381200,182200,381200,182200,381200,Dec  1 1997,280500
71051708                  ,1427894535,611 East Mowbray Ct,611 ,600,East Mowbray Ct,East Mowbray ,Norfolk                         ,VA  ,23507-1858,23507,150400,Single Family - Detached,0,2983,181900,317200,181900,317200,181900,317200,Oct  5 1994,269500
71051709                  ,1427894501,607 East Mowbray Ct,607 ,600,East Mowbray Ct,East Mowbray ,Norfolk                         ,VA  ,23507-1858,23507,150400,Single Family - Detached,0,2829,181900,339300,181900,339300,181900,339300,Dec 11 2014,568000
71051710                  ,1427893495,601 East Mowbray Ct,601 ,600,East Mowbray Ct,East Mowbray ,Norfolk                         ,VA  ,23507-1858,23507,150400,Single Family - Detached,8100,3436,244200,324600,244200,324600,244200,324600,Dec 14 2006,662500
71051720                  ,1427897613,725 Mowbray Arch,725 ,700,Mowbray Arch,Mowbray Arch,Norfolk                         ,VA  ,23507-1854,23507,150400,Single Family - Detached,0,3754,181300,374700,181300,374700,181300,374700,Feb 17 2012,0
71051721                  ,1427896589,719 Mowbray Arch,719 ,700,Mowbray Arch,Mowbray Arch,Norfolk                         ,VA  ,23507-1854,23507,150400,Single Family - Detached,0,3674,152600,379200,152600,379200,152600,379200,Feb  5 1988,328400
71051722                  ,1427896566,713 Mowbray Arch,713 ,700,Mowbray Arch,Mowbray Arch,Norfolk                         ,VA  ,23507-1854,23507,150400,Single Family - Detached,4000,3634,152600,383500,152600,383500,152600,383500,May 14 1998,292500
71051723                  ,1427896543,707 Mowbray Arch,707 ,700,Mowbray Arch,Mowbray Arch,Norfolk                         ,VA  ,23507-1854,23507,150400,Single Family - Detached,0,3343,152600,356700,152600,356700,152600,356700,May 28 2010,0
71051724                  ,1427896419,701 Mowbray Arch,701 ,700,Mowbray Arch,Mowbray Arch,Norfolk                         ,VA  ,23507-1854,23507,150400,Single Family - Detached,0,4763,181300,451900,181300,424000,181300,424000,Jun 22 2004,500000
71051760                  ,1427898703,302 Raleigh Av,302 ,300,Raleigh Av,Raleigh Av,Norfolk                         ,VA  ,23507-1838,23507,150400,Single Family - Detached,0,3766,190700,422100,190700,422100,190700,422100,Oct 30 2009,770000
71051762                  ,1427897765,304 Raleigh Av,304 ,300,Raleigh Av,Raleigh Av,Norfolk                         ,VA  ,23507-1838,23507,150400,Single Family - Detached,0,3762,152600,372000,152600,372000,152600,372000,May 28 2010,522500
71051764                  ,1427897738,310 Raleigh Av,310 ,300,Raleigh Av,Raleigh Av,Norfolk                         ,VA  ,23507-1838,23507,150400,Single Family - Detached,0,4067,172000,428400,172000,428400,172000,428400,Apr 16 2009,0
71051766                  ,1427896890,314 Raleigh Av,314 ,300,Raleigh Av,Raleigh Av,Norfolk                         ,VA  ,23507-1838,23507,150400,Single Family - Detached,0,2870,152600,304300,152600,304300,152600,304300,Dec 19 2007,0
71051768                  ,1427896863,316 Raleigh Av,316 ,300,Raleigh Av,Raleigh Av,Norfolk                         ,VA  ,23507-1838,23507,150400,Single Family - Detached,0,4617,172000,439500,172000,439500,172000,439500,Jul 20 2002,410000
71051770                  ,1427896815,320 Raleigh Av,320 ,300,Raleigh Av,Raleigh Av,Norfolk                         ,VA  ,23507-1838,23507,150400,Single Family - Detached,0,4050,190700,391200,190700,391200,190700,391200,Jun  5 2015,0
71051772                  ,1427895849,330 Raleigh Av,330 ,300,Raleigh Av,Raleigh Av,Norfolk                         ,VA  ,23507-1843,23507,150400,Single Family - Detached,0,3719,183200,387300,183200,387300,183200,387300,Nov 30 2009,0
71051774                  ,1427895911,334 Raleigh Av,334 ,300,Raleigh Av,Raleigh Av,Norfolk                         ,VA  ,23507-1843,23507,150400,Single Family - Detached,0,3210,152600,340000,152600,340000,152600,340000,Mar 21 2006,0
71051776                  ,1427894984,338 Raleigh Av,338 ,300,Raleigh Av,Raleigh Av,Norfolk                         ,VA  ,23507-1843,23507,150400,Single Family - Detached,0,3400,152600,383900,152600,383900,152600,383900,Mar 31 2009,705000
71051826                  ,1427893890,337 Raleigh Av,337 ,300,Raleigh Av,Raleigh Av,Norfolk                         ,VA  ,23507-1849,23507,150400,Single Family - Detached,0,3918,190700,413700,190700,413700,190700,413700,Dec 27 1983,175000
71051828                  ,1427894737,333 Raleigh Av,333 ,300,Raleigh Av,Raleigh Av,Norfolk                         ,VA  ,23507-1849,23507,150400,Single Family - Detached,0,4163,152600,415900,152600,415900,152600,415900,Jul 20 2016,0
71051830                  ,1427894766,329 Raleigh Av,329 ,300,Raleigh Av,Raleigh Av,Norfolk                         ,VA  ,23507-1849,23507,150400,Single Family - Detached,4000,3388,152600,346600,152600,346600,152600,346600,Feb 26 1997,327500
71051832                  ,1427895703,325 Raleigh Av,325 ,300,Raleigh Av,Raleigh Av,Norfolk                         ,VA  ,23507-1849,23507,150400,Single Family - Detached,0,4007,152600,396900,152600,396900,152600,396900,Jan 29 1993,410000
